package,stars,downloads,gallery,description,CRAN
ggplot2,NA,156529023,NA,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggrepel,1228,22872033,TRUE,"Automatically Position Non-Overlapping Text Labels with
'ggplot2'",TRUE
cowplot,712,17426420,TRUE,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
ggpubr,1154,15897739,TRUE,'ggplot2' Based Publication Ready Plots,TRUE
ggsci,676,11836466,TRUE,"Scientific Journal and Sci-Fi Themed Color Palettes for
'ggplot2'",TRUE
ggsignif,597,11780810,TRUE,Significance Brackets for 'ggplot2',TRUE
patchwork,2504,7355601,TRUE,NA,NA
ggmap,NA,7236249,NA,Spatial Visualization with ggplot2,TRUE
GGally,594,6579645,TRUE,Extension to 'ggplot2',TRUE
ggthemes,1326,6103769,TRUE,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggforce,918,5048043,TRUE,Accelerating 'ggplot2',TRUE
ggridges,414,4724083,TRUE,Ridgeline Plots in 'ggplot2',TRUE
tidytext,NA,3927417,NA,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
ggraph,1083,3567784,TRUE,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggtext,657,3205090,TRUE,Improved Text Rendering Support for 'ggplot2',TRUE
hrbrthemes,1252,2955004,TRUE,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ggfortify,528,2850137,TRUE,Data Visualization Tools for Statistical Analysis Results,TRUE
waterfalls,NA,2580394,NA,Create Waterfall Charts using 'ggplot2' Simply,TRUE
survminer,521,2322447,TRUE,Drawing Survival Curves using 'ggplot2',TRUE
ggdendro,NA,1798736,NA,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggeffects,NA,1771594,NA,"Create Tidy Data Frames of Marginal Effects for 'ggplot' from
Model Outputs",TRUE
ggcorrplot,189,1726920,TRUE,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggplotify,NA,1545561,NA,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggfun,NA,1410951,NA,Miscellaneous Functions for 'ggplot2',TRUE
ggstance,201,1403660,TRUE,Horizontal 'ggplot2' Components,TRUE
ggbeeswarm,546,1315428,TRUE,Categorical Scatter (Violin Point) Plots,TRUE
ggplot2movies,NA,1268860,NA,Movies Data,TRUE
ggfittext,306,1262874,TRUE,Fit Text Inside a Box in 'ggplot2',TRUE
ggformula,38,1253331,TRUE,Formula Interface to the Grammar of Graphics,TRUE
ggstats,35,1214852,TRUE,Extension to 'ggplot2' for Plotting Stats,TRUE
aplot,NA,1197947,NA,Decorate a 'ggplot' with Associated Information,TRUE
gganimate,1958,1185730,TRUE,A Grammar of Animated Graphics,TRUE
treemapify,215,1013122,TRUE,Draw Treemaps in 'ggplot2',TRUE
ggnewscale,410,965016,TRUE,Multiple Fill and Colour Scales in 'ggplot2',TRUE
ggvis,NA,942598,NA,Interactive Grammar of Graphics,TRUE
ggExtra,385,888827,TRUE,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2'
Enhancements",TRUE
ggiraph,817,832898,TRUE,Make 'ggplot2' Graphics Interactive,TRUE
ggdist,857,792088,TRUE,Visualizations of Distributions and Uncertainty,TRUE
ggpmisc,102,784424,TRUE,Miscellaneous Extensions to 'ggplot2',TRUE
egg,NA,737139,NA,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",TRUE
see,897,695468,TRUE,Model Visualisation Toolbox for 'easystats' and 'ggplot2',TRUE
heatmaply,NA,672289,NA,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',TRUE
esquisse,1791,644202,TRUE,NA,NA
ggalluvial,506,637491,TRUE,Alluvial Plots in 'ggplot2',TRUE
ggstatsplot,2070,604023,TRUE,'ggplot2' Based Plots with Statistical Details,TRUE
ggpp,127,571495,TRUE,Grammar Extensions to 'ggplot2',TRUE
ggspatial,NA,570083,NA,Spatial Data Framework for ggplot2,TRUE
directlabels,82,563787,TRUE,NA,NA
ggalt,670,495739,TRUE,"Extra Coordinate Systems, 'Geoms', Statistical Transformations,
Scales and Fonts for 'ggplot2'",TRUE
ggimage,NA,471561,NA,Use Image in 'ggplot2',TRUE
ggrastr,220,470462,TRUE,Rasterize Layers for 'ggplot2',TRUE
qqplotr,51,444996,TRUE,Quantile-Quantile Plot Extensions for 'ggplot2',TRUE
plotROC,87,373663,TRUE,NA,NA
ggmosaic,168,341025,TRUE,Mosaic Plots in the 'ggplot2' Framework,TRUE
ggnetwork,147,315568,TRUE,Geometries to Plot Networks with 'ggplot2',TRUE
ggh4x,602,299283,TRUE,Hacks for 'ggplot2',TRUE
gghighlight,NA,295688,NA,Highlight Lines and Points in 'ggplot2',TRUE
ggiraphExtra,NA,285025,NA,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph',TRUE
lemon,187,277804,TRUE,Freshing Up your 'ggplot2' Plots,TRUE
ggside,345,270321,TRUE,Side Grammar Graphics,TRUE
thematic,NA,239715,NA,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",TRUE
ggtern,NA,235132,NA,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",TRUE
ggVennDiagram,NA,211756,NA,A 'ggplot2' Implement of Venn Diagram,TRUE
