package,description,downloads,CRAN
gg.gap,Define Segments in y-Axis for 'ggplot2',41579,TRUE
gg1d,Exploratory Data Analysis using Tiled One-Dimensional Graphics,541,TRUE
ggalign,A 'ggplot2' Extension for Consistent Axis Alignment,3785,TRUE
ggaligner,"Visualizing Sequence Alignment by Generating Publication-Ready
Plots",3280,TRUE
ggalignment,Plots 'D&D'-Style Alignment Charts,9431,TRUE
ggallin,Grab Bag of 'ggplot2' Functions,34786,TRUE
ggalluvial,Alluvial Plots in 'ggplot2',637491,TRUE
GGally,Extension to 'ggplot2',6579645,TRUE
ggalt,"Extra Coordinate Systems, 'Geoms', Statistical Transformations,
Scales and Fonts for 'ggplot2'",495739,TRUE
gganimate,A Grammar of Animated Graphics,1185730,TRUE
ggarchery,Flexible Segment Geoms with Arrows for 'ggplot2',15680,TRUE
ggarrow,Arrows for 'ggplot2',4877,TRUE
ggautomap,Create Maps from a Column of Place Names,3244,TRUE
ggbeeswarm,Categorical Scatter (Violin Point) Plots,1315428,TRUE
ggbiplot,A Grammar of Graphics Implementation of Biplots,60463,TRUE
ggblanket,Simplify 'ggplot2' Visualisation,26449,TRUE
ggblend,Blending and Compositing Algebra for 'ggplot2',5759,TRUE
ggborderline,Line Plots that Pop,13941,TRUE
ggbrace,Curly Braces for 'ggplot2',3659,TRUE
ggbrain,"Create Images of Volumetric Brain Data in NIfTI Format Using
'ggplot2' Syntax",8265,TRUE
ggbreak,Set Axis Break for 'ggplot2',154126,TRUE
ggbrick,Waffle Style Chart with a Brick Layout in 'ggplot2',2179,TRUE
ggBubbles,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',19455,TRUE
ggbuildr,Save Incremental Builds of Plots,24574,TRUE
ggbump,Bump Chart and Sigmoid Curves,35400,TRUE
ggchangepoint,Combines Changepoint Analysis with 'ggplot2',8296,TRUE
ggcharts,Shorten the Distance from Data Visualization Idea to Actual Plot,35664,TRUE
ggChernoff,Chernoff Faces for 'ggplot2',31522,TRUE
ggcleveland,Implementation of Plots from Cleveland's Visualizing Data Book,10660,TRUE
ggcompare,Mean Comparison in 'ggplot2',1048,TRUE
ggcorrplot,Visualization of a Correlation Matrix using 'ggplot2',1726920,TRUE
ggcorset,The Corset Plot,10521,TRUE
ggdag,Analyze and Create Elegant Directed Acyclic Graphs,208679,TRUE
ggdark,Dark Mode for 'ggplot2' Themes,78097,TRUE
ggdaynight,Add Day/Night Patterns to 'ggplot2' Plots,4836,TRUE
ggdemetra,"'ggplot2' Extension for Seasonal and Trading Day Adjustment with
'RJDemetra'",36138,TRUE
ggdendro,Create Dendrograms and Tree Diagrams Using 'ggplot2',1798736,TRUE
ggdensity,Interpretable Bivariate Density Visualization with 'ggplot2',26402,TRUE
ggdist,Visualizations of Distributions and Uncertainty,792088,TRUE
ggdmc,Cognitive Models,34387,TRUE
ggDoE,Modern Graphs for Design of Experiments with 'ggplot2',7961,TRUE
ggDoubleHeat,A Heatmap-Like Visualization Tool,9279,TRUE
gge,Genotype Plus Genotype-by-Environment Biplots,94392,TRUE
ggeasy,Easy Access to 'ggplot2' Commands,102672,TRUE
GGEBiplots,GGE Biplots with 'ggplot2',40472,TRUE
ggedit,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,99305,TRUE
ggeffects,"Create Tidy Data Frames of Marginal Effects for 'ggplot' from
Model Outputs",1771594,TRUE
ggenealogy,Visualization Tools for Genealogical Data,41352,TRUE
ggESDA,Exploratory Symbolic Data Analysis with 'ggplot2',8935,TRUE
ggetho,"Visualisation of High-Throughput Behavioural (i.e. Ethomics)
Data",41961,TRUE
ggExtra,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2'
Enhancements",888827,TRUE
ggfacto,Graphs for Correspondence Analysis,7484,TRUE
ggfields,Add Vector Field Layers to Ggplots,2027,TRUE
ggfigdone,Manage & Modify 'ggplot' Figures using 'ggfigdone',1336,TRUE
ggFishPlots,"Visualise and Calculate Life History Parameters for Fisheries
Science using 'ggplot2'",5534,TRUE
ggfittext,Fit Text Inside a Box in 'ggplot2',1262874,TRUE
ggfixest,Dedicated 'ggplot2' Methods for 'fixest' Objects,5917,TRUE
ggflowchart,Flowcharts with 'ggplot2',6347,TRUE
ggfocus,Scales that Focus Specific Levels in your ggplot(),24993,TRUE
ggfootball,Plotting Expected Goals (xG) Stats with 'Understat' Data,238,TRUE
ggforce,Accelerating 'ggplot2',5048043,TRUE
ggformula,Formula Interface to the Grammar of Graphics,1253331,TRUE
ggfortify,Data Visualization Tools for Statistical Analysis Results,2850137,TRUE
ggfoundry,Shape Foundry & Geom for 'ggplot2',1799,TRUE
ggfun,Miscellaneous Functions for 'ggplot2',1410951,TRUE
ggfx,Pixel Filters for 'ggplot2' and 'grid',47608,TRUE
gggap,"Streamlined Creation of Segments on the Y-Axis of 'ggplot2'
Plots",12059,TRUE
gggenes,Draw Gene Arrow Maps in 'ggplot2',202642,TRUE
gggenomes,A Grammar of Graphics for Comparative Genomics,2871,TRUE
ggghost,Capture the Spirit of Your 'ggplot2' Calls,30560,TRUE
gggibbous,"Moon Charts, a Pie Chart Alternative",40781,TRUE
gggrid,Draw with 'grid' in 'ggplot2',14457,TRUE
ggh4x,Hacks for 'ggplot2',299283,TRUE
gghalfnorm,Create a Half Normal Plot Using 'ggplot2',29919,TRUE
gghalves,Compose Half-Half Plots Using Your Favourite Geoms,160816,TRUE
gghdx,"HDX Theme, Scales, and Other Conveniences for 'ggplot2'",4224,TRUE
ggheatmap,Plot Heatmap,24201,TRUE
gghighlight,Highlight Lines and Points in 'ggplot2',295688,TRUE
gghilbertstrings,A Fast 'ggplot2'-Based Implementation of Hilbert Curves,11634,TRUE
gghist,Plot the Histogram of a Numeric Vector,4009,TRUE
ggHoriPlot,Horizon Plots for 'ggplot2',14167,TRUE
ggimage,Use Image in 'ggplot2',471561,TRUE
ggimg,Graphics Layers for Plotting Image Data with 'ggplot2',23206,TRUE
gginference,Visualise the Results of Inferential Statistics using 'ggplot2',36387,TRUE
gginnards,Explore the Innards of 'ggplot2' Objects,99707,TRUE
ggip,Data Visualization for IP Addresses and Networks,16438,TRUE
ggiraph,Make 'ggplot2' Graphics Interactive,832898,TRUE
ggiraphExtra,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph',285025,TRUE
ggisotonic,'ggplot2' Friendly Isotonic or Monotonic Regression Curves,25034,TRUE
ggjoy,Joyplots in 'ggplot2',96457,TRUE
gglgbtq,Show Pride on 'ggplot2' Plots,6315,TRUE
gglm,Grammar of Graphics for Linear Model Diagnostic Plots,42189,TRUE
gglogger,Track 'ggplot2' Calls,2001,TRUE
gglorenz,Plotting Lorenz Curve with the Blessing of 'ggplot2',34424,TRUE
ggmap,Spatial Visualization with ggplot2,7236249,TRUE
ggmapcn,Customizable China Map Visualizations,350,TRUE
ggmapinset,Add Inset Panels to Maps,6459,TRUE
ggmatplot,Plot Columns of Two Matrices Against Each Other Using 'ggplot2',10585,TRUE
ggmice,Visualizations for 'mice' with 'ggplot2',18095,TRUE
ggmosaic,Mosaic Plots in the 'ggplot2' Framework,341025,TRUE
ggmugs,"Visualization of Multiple Genome-Wide Association Study Summary
Statistics",5720,TRUE
ggmuller,Create Muller Plots of Evolutionary Dynamics,44169,TRUE
ggmulti,High Dimensional Data Visualization,19682,TRUE
ggnetwork,Geometries to Plot Networks with 'ggplot2',315568,TRUE
ggnewscale,Multiple Fill and Colour Scales in 'ggplot2',965016,TRUE
ggnormalviolin,A 'ggplot2' Extension to Make Normal Violin Plots,22982,TRUE
ggnuplot,Make 'ggplot2' Look Like 'gnuplot',12363,TRUE
ggOceanMaps,Plot Data on Oceanographic Maps using 'ggplot2',29321,TRUE
