package,description,downloads,CRAN
gg.gap,Define Segments in y-Axis for 'ggplot2',41639,TRUE
gg1d,Exploratory Data Analysis using Tiled One-Dimensional Graphics,565,TRUE
ggalign,A 'ggplot2' Extension for Consistent Axis Alignment,3867,TRUE
ggaligner,Visualizing Sequence Alignment by Generating Publication-Ready Plots,3294,TRUE
ggalignment,Plots 'D&D'-Style Alignment Charts,9461,TRUE
ggallin,Grab Bag of 'ggplot2' Functions,34811,TRUE
ggalluvial,Alluvial Plots in 'ggplot2',640026,TRUE
GGally,Extension to 'ggplot2',6592194,TRUE
ggalt,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'",496539,TRUE
gganimate,A Grammar of Animated Graphics,1188135,TRUE
ggarchery,Flexible Segment Geoms with Arrows for 'ggplot2',15779,TRUE
ggarrow,Arrows for 'ggplot2',4968,TRUE
ggautomap,Create Maps from a Column of Place Names,3261,TRUE
ggbeeswarm,Categorical Scatter (Violin Point) Plots,1319169,TRUE
ggbiplot,A Grammar of Graphics Implementation of Biplots,61084,TRUE
ggblanket,Simplify 'ggplot2' Visualisation,26588,TRUE
ggblend,Blending and Compositing Algebra for 'ggplot2',5819,TRUE
ggborderline,Line Plots that Pop,13992,TRUE
ggbrace,Curly Braces for 'ggplot2',3700,TRUE
ggbrain,Create Images of Volumetric Brain Data in NIfTI Format Using 'ggplot2' Syntax,8300,TRUE
ggbreak,Set Axis Break for 'ggplot2',155241,TRUE
ggbrick,Waffle Style Chart with a Brick Layout in 'ggplot2',2198,TRUE
ggBubbles,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2',19478,TRUE
ggbuildr,Save Incremental Builds of Plots,24597,TRUE
ggbump,Bump Chart and Sigmoid Curves,35491,TRUE
ggchangepoint,Combines Changepoint Analysis with 'ggplot2',8322,TRUE
ggcharts,Shorten the Distance from Data Visualization Idea to Actual Plot,35711,TRUE
ggChernoff,Chernoff Faces for 'ggplot2',31548,TRUE
ggcleveland,Implementation of Plots from Cleveland's Visualizing Data Book,10677,TRUE
ggcompare,Mean Comparison in 'ggplot2',1079,TRUE
ggcorrplot,Visualization of a Correlation Matrix using 'ggplot2',1732099,TRUE
ggcorset,The Corset Plot,10557,TRUE
ggdag,Analyze and Create Elegant Directed Acyclic Graphs,209403,TRUE
ggdark,Dark Mode for 'ggplot2' Themes,78185,TRUE
ggdaynight,Add Day/Night Patterns to 'ggplot2' Plots,4904,TRUE
ggdemetra,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra',36204,TRUE
ggdendro,Create Dendrograms and Tree Diagrams Using 'ggplot2',1800589,TRUE
ggdensity,Interpretable Bivariate Density Visualization with 'ggplot2',26495,TRUE
ggdist,Visualizations of Distributions and Uncertainty,796136,TRUE
ggdmc,Cognitive Models,34430,TRUE
ggDoE,Modern Graphs for Design of Experiments with 'ggplot2',7991,TRUE
ggDoubleHeat,A Heatmap-Like Visualization Tool,9311,TRUE
gge,Genotype Plus Genotype-by-Environment Biplots,94590,TRUE
ggeasy,Easy Access to 'ggplot2' Commands,102896,TRUE
