package,stars,downloads,gallery
ggQQunif,8,23261,TRUE
ggupset,354,146817,TRUE
xmrr,7,24911,TRUE
ggpcp,1,5916,TRUE
gg3D,104,NA,TRUE
ggQC,46,62113,TRUE
ggdist,857,796136,TRUE
ggedit,250,99419,TRUE
ggpage,340,26010,TRUE
ggpca,2,2325,TRUE
ggbreak,133,155241,TRUE
ggimg,53,23236,TRUE
gganatogram,383,NA,TRUE
ggforce,918,5059383,TRUE
ggalt,670,496539,TRUE
ggiraph,817,834696,TRUE
ggmuller,64,44212,TRUE
ggstance,201,1404927,TRUE
ggrepel,1228,22913717,TRUE
ggraph,1083,3575365,TRUE
gginnards,24,100087,TRUE
ggpp,127,573543,TRUE
ggpmisc,102,786521,TRUE
geomnet,97,37323,TRUE
ggExtra,385,890575,TRUE
ggfortify,528,2854971,TRUE
autoplotly,88,54677,TRUE
gganimate,1958,1188135,TRUE
ggfx,170,47742,TRUE
plotROC,87,374063,TRUE
ggbump,541,35491,TRUE
ggthemes,1326,6113137,TRUE
ggspectra,5,70673,TRUE
ggstatsplot,2070,605329,TRUE
ggnetwork,147,316288,TRUE
ggtech,393,NA,TRUE
ggradar,340,NA,TRUE
ggx,151,12598,TRUE
ggTimeSeries,255,46532,TRUE
ggtree,858,NA,TRUE
ggseas,74,115920,TRUE
ggsci,676,11857498,TRUE
ggmosaic,168,341829,TRUE
survminer,521,2328470,TRUE
ggeasy,274,102896,TRUE
ggside,345,271246,TRUE
ggcorrplot,189,1732099,TRUE
ggpubr,1154,15930745,TRUE
ggthemr,898,NA,TRUE
GGally,594,6592194,TRUE
ggseqlogo,211,146750,TRUE
ggChernoff,36,31548,TRUE
ggridges,414,4735988,TRUE
lemon,187,278678,TRUE
cowplot,712,17471340,TRUE
qqplotr,51,445797,TRUE
ggalluvial,506,640026,TRUE
patchwork,2504,7395639,TRUE
ggquiver,51,41704,TRUE
ggsignif,597,11800808,TRUE
ggdag,441,209403,TRUE
ggformula,38,1254983,TRUE
ggbeeswarm,546,1319169,TRUE
ggperiodic,21,29938,TRUE
ggpol,105,155905,TRUE
ggpirate,26,NA,TRUE
esquisse,1791,645153,TRUE
ggdark,199,78185,TRUE
sugrrants,82,67691,TRUE
tvthemes,140,40062,TRUE
ggfittext,306,1264320,TRUE
ggparty,147,69569,TRUE
gggenes,524,203110,TRUE
gggenomes,641,2942,TRUE
treemapify,215,1013967,TRUE
lindia,104,57301,TRUE
gghalves,244,161408,TRUE
ggrastr,220,472806,TRUE
ggpointdensity,422,82034,TRUE
ggsom,13,26455,TRUE
ggnewscale,410,970059,TRUE
ggh4x,602,301258,TRUE
ggarrow,54,4968,TRUE
legendry,211,2143,TRUE
ggcharts,292,35711,TRUE
humapr,9,NA,TRUE
ggshadow,60,15488,TRUE
ggseg,219,24076,TRUE
mdthemes,80,19146,TRUE
ggwordcloud,174,197417,TRUE
ggasym,13,39204,TRUE
gglorenz,31,34458,TRUE
hrbrthemes,1252,2957441,TRUE
ggpattern,364,188029,TRUE
ggtext,657,3213014,TRUE
calendR,255,50087,TRUE
ggip,27,16470,TRUE
gglm,79,42340,TRUE
econocharts,252,NA,TRUE
ComplexUpset,486,67062,TRUE
ggchromatic,13,NA,TRUE
ggheatmap,87,24263,TRUE
see,897,698169,TRUE
directlabels,82,564451,TRUE
ggHoriPlot,144,14214,TRUE
ggtrace,15,7274,TRUE
ggESDA,21,8953,TRUE
geomtextpath,629,102895,TRUE
ggdensity,229,26495,TRUE
ggtranscript,135,NA,TRUE
piecepackr,59,33978,TRUE
oblicubes,20,5637,TRUE
ggDoubleHeat,14,9311,TRUE
nflplotR,20,31450,TRUE
ggbraid,81,1237,TRUE
ggblanket,168,26588,TRUE
ggpie,48,22136,TRUE
ggstar,100,61415,TRUE
ggarchery,32,15779,TRUE
tidyterra,187,163099,TRUE
ggseqplot,14,16503,TRUE
ggsurvfit,3,153818,TRUE
ggsector,4,7609,TRUE
ggterror,0,NA,TRUE
ggragged,35,4604,TRUE
ggmapinset,36,6500,TRUE
ggmagnify,278,NA,TRUE
ggblend,184,5819,TRUE
ggflowchart,88,6381,TRUE
ggrain,75,28600,TRUE
ggoutlierscatterplot,4,NA,TRUE
ggautothemes,2,NA,TRUE
AMR,91,131085,TRUE
ichimoku,31,56925,TRUE
eheat,12,NA,TRUE
ggstats,35,1225690,TRUE
ggfoundry,17,1829,TRUE
ggalign,227,3867,TRUE
ggreveal,33,2443,TRUE
geofacet,340,89193,TRUE
tidyplots,415,9518,TRUE
rphylopic,91,37374,TRUE
deeptime,90,27112,TRUE
